,0,1,Skill development/learning,Work-Life balance,Compensation & Benefits,Company culture,Job Security,Career growth & opportunities,Work Satisfaction,Sum
477,Marketing skills product knowledge carrier growth seniors advise,Not much,0,0,0,0,0,1,0,1
478,"I thought Accenture is a very good company with excellent management. I found it that it is a mirage. The management is pathetic. They want you to work on the weekends. They push to work around 14-15 hrs every day during transition period which goes for more than 2 to 3 months. Manager almost every time keep shouting on the team meet calls. Work life balance is pathetic.
On the top the variab6is around 21 percent to 18 percent and you will not get all the variable. However it will be part of your CTC.
This is how Accenture plays with the life of their employees.","Manager, Sr. Manager for being bais and there is no work life balance.
Also transport is big time challenge",0,1,0,0,0,0,0,1
479,Sometimes managers motivating guidelines.,The work pressure is extremely high. Managers do not value an individuals n always insulting the staff mentally.and personally. Also there is no job training for freshers.,1,0,0,0,0,0,0,1
480,New technology learning in each iteration,Being a franchise institute  the career growth is poor in financial wise but technically you will grow ...,1,0,0,0,0,1,0,2
481,I like the environment of my office and protection which is most important thing for working girls and women,There  is no job Security for people like us who were hired from third party.,0,0,0,0,1,0,0,1
482,"Diffferent sectorial exposure, work life balance",Less salary compared to industry standards.,0,1,1,0,0,0,0,2
483,"work experience in a monopoly I.e in railways and learning OHE,TSS,SCADA,Railway Electrification.",Noting,0,0,0,0,0,0,0,0
484,"Team mates are good, training very good, Job security best, carrier growth very nice, work environment good., work life balance good.",I like very much all aspects of g4s.,1,1,0,0,1,1,0,4
485,Salary ia low,Food is not good,0,0,1,0,0,0,0,1
486,Administration very poor,Environmental very poor,0,0,0,1,0,0,0,1
487,I like most analyser is good working and all site is good,No room faisility,0,0,0,0,0,0,0,0
488,I'm leaving the company now search other job in UAE ok ...I shared my experiences I'm first attended interview after 10 day's company's asking only for training 3 years after leaving the company telling with me I accept the demands  giving joining order after join first trainings quality trainings after five days  work started 2 years 6 month work after leaving the company....,Not confirmed the job it's not like the company,1,0,0,0,0,0,0,1
489,I liked working life,I dislike  job security and politics,0,0,0,0,1,0,0,1
490,company image that's it.,they don't care about staff.,0,0,0,0,0,0,0,0
491,Training period,Working without weekend for 18 days.. Most of the time manager will force employees to work without weekend,1,1,0,0,0,0,0,2
492,"I love the fact that I am a part of a team that markets reliable,high quality products and has a global client base","The work pressure is very high, management don't values as individuals",0,1,0,0,0,0,0,1
493,Work environment nd salary,Job insecurity,0,0,1,0,1,0,0,2
494,The company is open to innovation and readily adopts latest technology. I love the fact that i am a part of them.  Thanks,Growth rate is slow.  The work pressure is very high.,0,0,0,1,0,1,0,2
495,Environment is very good training or trainer all r exillent.,But the behiver of owner of Jhansi tanishq store is not good she is very bad lady her behiver with staff is very bad.,1,0,0,0,0,0,0,1
496,Every one will get a friendly relationship with colleagues. When any one reach tragets they are given incentives and some are also send to the onsites (international travel) for the conferences. Its very easy to get job at OMICS.,"An employee can hardly gets a work satisfaction. I never prefer anyone to join this company at any cost. The Management hold salary which is totally illegal. They provide only 6 sick leaves in 12 months. The company treat us as if we are in a school. Mobiles phones are not allowed in the work premise and even if we have any urgency we need to take permission from managers. Strict rules, break timings are less, only 2nd and 3rd Saturdays are holidays, no leave on whole India Holidays. In case if the national holidays are on normal week days then all Saturdays of month will be considered as working days. No leaves can be taken one day before holiday, Double loss of pay on Monday. Managers, HRs and the most important person our so called CEO of OMICS, Srinubabu Gadela treat all the employees like a non living being, as if we have no life outside the office premise. We, mainly the Program Coordinators are the their slaves.",0,0,1,0,0,0,0,1
497,"I would like to mention that it was a great organisation to work with,where we had not any work presure because everyone was there so helpful and team player to support the team.",There was lackness within the management only which drown us.,0,0,0,0,0,0,0,0
498,It feels great to be associated with a multinational company. The policies are superficially employee centric and it's an overwhelming experience to be working with a company of such grand stature and strong brand image.,"After joining Accenture Noida, I could sense discrimination and managerial bias. Following are the cons elaborated categorically :-
1. Lack of respect in a genuine sense by the TL and managers for female employees. 
2. Poor grievance redressal. I received a hate and abusive message on my Facebook account. However, no action was taken against my grievance. 
3. Male employees are given undue power by the TL and the manager to pass gender biased comments such as ""Ladkiya to timepass ke liye job karti hain..inka koi career nahi hota"". And the manager and the TL will not take a stand for the integrity of a female employee.
4. Leaves were duly granted but later I was harassed and blamed for unplanned leaves.
5. The variable bonus is dispersed in absolute prejudice. The AM and TL would unjustifiably distribute the highest bonus to the person who has the maximum number of errors and lacks initiative in the process. 
6. The TL and AM conspired against me by asking the team members to write fake mails against me to terminate my services or force me for an IJP.
6. When adequate support was not extended from the AM, TL, People Advisors and the HR managers, I had to reach out to the national HR head and Grievance Redressal team in Bangalore for the derogatory remarks and lack of transparency in variable bonus disbursement. Eventually, I realize that the bitter truth that if a person has a progressive approach and critically analyzes the situation and seeks a justifiable work environment and transparency in recognition for work, that person is bound to pay a cost. I resigned from my services, however, I earnestly wished that the company could live upto its strong brand image in the industry. I wanted to continue with the company, had they valued the honest feedback, grievances and worked upon employee retention.",0,0,0,0,0,0,0,0
499,"It was fabulous time I spent with Samsung. Everything was fantastic my outlet my ASM, TL, RSO etc... I spent around one N half year   learnt number of things. Company always pay my labour on time and incentive too. I was transferred thrice due to some distributer probs... Over all my experience with Samsung was majestic ...",Actually nothing was dislike but some time being transferred due to stock problem....,1,0,1,0,0,0,0,2
500,"great training skills, any one can learn, a good trainer turn into quality and effect Manager in McD. Pay is average and reasonable. I recommend to try and learn great people skills.
I worked in Sydney, Australia. for 10 years. Hear In India i see very poor customer service, very rude, staff politics.",no comments,1,0,1,0,0,0,0,2
501,Structure the incentive calculation is very good ...,Not a peacefull requirement has to success of businesss,0,0,0,0,0,0,0,0
502,You got very polite and good behavior from boss,Targets for sales is high so everyone is in race,0,0,0,1,0,0,0,1
503,Hlo my name is Ajay Kumar .I have done my job in carefully and I am seriously complete my any work related to my job,Hlo my name is Ajay Kumar .I have done my job carefull,0,0,0,0,0,0,0,0
504,My team is very nice and training team give us time to time training regarding sops job is secure and we grow time to time and we learn alot and overall my experience is really very nice.,Nothing is dislike about cafe coffe day but i am finding job because  i want explore my experience in food industry.,1,0,0,0,0,0,0,1
505,Company's culture is good.,"Company policy. Because it doesn't reflect to lower level employees. Actually if one person tries to find out the policies they can. But managers will make their own policy and will tell you that its Accenture policy and you should follow those. However it is not. In many cases, I have seel, Accenture has given its managers tk define some project rules. Which is being misutilized by Managers. In return, most of the employees not able to maintain their work-life balance. But to outside, Accenture keeps on highlighting that is has better solutions to Work-Life balance.",0,1,0,1,0,0,0,2
506,Work flow is good but unwanted mently press is high,Yes,0,1,0,0,0,0,0,1
507,"TheCompany Name Only shows its Strength and Power. Just We Need to Hold and  Pull  the company Towards Success. And am Very Much Interested Because i Feel Proud That Am Working In The Top Company. The Company Has Supereb Growth And New Technology and more to say Public Demand. What Our People Thinks Reliance Will  Do That.. So Am very Happy..
Thanks.
MIRZA.",No. I Dont Have Any Objections.,0,0,0,0,0,1,1,2
508,Empowerment and encouraging with the zeal to challenge the challengings.,Your work is appreciated as your boss's work.,0,0,0,1,0,0,0,1
509,Learning,Career growth is slow,1,0,0,0,0,1,0,2
510,I liked the overall exposure which as an architect I got.,I didn't liked internal politics within the team and unprofessional behavior of team leads. No personal professional life balance.,0,1,0,0,0,0,0,1
511,Accenture has everything to be the most preferred employer of choice for anyone.,"I had worked as a Software Engineer/Oracle Core DBA in Bangalore. Recruitment /Hiring is pathetic..Moreover they do not allow your voice to be heard by the HR leadership.. very very impartial....Diversity is in name sake....Regionalism is at the peak....Performance appraisal is biased..After leaving Accenture, I had prepared  a cover letter explaining the gaps in my Education & Experiences and stated the facts with all honesty...i am sure they have not looked into it at all..I have re-applied twice but in vain...i am 47...at this age we run out of opportunities....i request to check my cover letter in Accenture career site/ Accenture Alumni site along with my updated resume.",0,0,1,0,0,0,0,1
512,How to Manage vendors (Solapar) improved our managment skill,someday before i had an bike accident when i am going to site for alarm clearance but in this compny know one ask me how are you even my manager also.,1,0,0,0,0,0,0,1
513,Rivigo is good company of logistics,career growth,0,0,0,0,0,1,0,1
514,Good,Good,0,0,0,0,0,0,0,0
515,"Training, work life balance, career growth, security, cafeteria,","Salary/apparisal, more work,",1,1,1,0,0,1,0,4
516,"Learning wise it is good company, as you are responsible for multiple things like finance, taxation, releasing intercompany payment, MIS, BS reco., Statutory audit, preparation of financials statements etc.
 But all this learning is one time. There won’t be any further growth due to the size of company.","Dirty Politics
Lack of Job Security 
Too much Mental stress specially in finance department",1,0,0,0,1,0,0,2
517,The company is open to innovation and readily adopts latest technology.i love the fact that I am a part of a team,"Compensation is decent ,but growth is slow.the work pressure is very high",0,0,1,0,0,1,0,2
518,"i worked at gachibowli branch, hyderabad as a system admin, through recommendation i joined. from day 1 they tortured me a lot. its all politics. to save their jobs, they put others life/career in risk. they spoil my career.  you may get doubt for giving 1 star. what would i get if i say lie about any company. can i get any lottery prize. its all truth. we know in every company we can seen many politics, but here its terrible. north indians show racism towards south, even local muslims also. they only did mistake later they said its was done by us  infront of team leaders. they give heavy work and ask us to finish in limit time. no extra payment when we came on weekends, holidays. they gave bribe to their senior employees, to save their job. they gave parties. no knowledge sharing, colleagues didnt talk properely. when we get any doubt on any work, they said angrily u dont know how to do also. but they share knowledge to their community people. manly they treat office boys as ants. illegal affairs with senior employees to save job. finally its wosrt company in india. to save their jobs they put other life in risk.","to save their jobs, they put other life in risk, illegal affairs, north indians show racism towards south",1,1,0,1,0,0,0,3
519,"Job security, Name and Fame of reliance and it’s feeling proud to me work with Reliance",Salary/appraisal is very slow process and older employees get very less salary as compared to new joinee,0,0,1,0,1,0,0,2
520,I am getting a very good exposure in terms of retails and F&B units. Really love the work-life balance i get over here.,"I don't think I could find any cons here for now, by far, the organisation has been fair to me.",0,1,0,0,0,0,0,1
521,How to growth your position,Unneccassary salary of higher management,0,0,1,0,0,1,0,2
522,"Diffferent sectorial exposure, work life balance",Less salary compared to industry standards.,0,1,1,0,0,0,0,2
523,I'm working at Essa engineering industries Pvt ltd company is very good and learning process is going to be able,Salary is very low,1,0,1,0,0,0,0,2
524,Challenging atmosphere to work,Great place to work,0,0,0,0,0,0,0,0
525,Micromax Salary are credit on timely  Only one is like,Career growth is very Slow,0,0,0,0,0,1,0,1
526,Good practical experience,Contract job not permanent job,0,0,0,0,1,0,0,1
527,"Training is good.
Infrastructure is good. 
Library facilities.","1. Appraisal process is still slot based. Though they don't admit it. 
If slots are not available, no matter how good you worked; you won't get higher rating. 
2. Career growth will depend on unit you are in. You don't get to choose your unit.
3. Infy prefers hiring your batchmates at higher salary than promoting you for same position. 
4. If you are fresher,  skill is forced on you whether u like it not. 
There is politics and favouritism. 
Hike is single digit. 
5. Mandatory 9.15 hours of attendance every working day. 
6. Food and parking prices increase every year. 
7. Food court are usually far from working buildings.
8. Cost cutting includes switching off ac, not supplying tissues in washroom, no stationary, no company cup. 
8. Leaves policy is terrible. You get only 20 leaves per year. No medical leave or casual leave.  If you ask for more than 5 days of leave your manager reacts as if you are asking him to give his kidney. 
Crodwy food courts. 
Even the company t-shirt is not free, you have to purchase it if you want it.",0,0,1,0,0,1,0,2
528,"The company is really open to innovation and latest technology.
I love the fact that I m a part of a team that markets reliable, high quality product and had a global client base.","Compensation is decent, but growth is very slow or not.",0,0,1,0,0,1,0,2
529,Work environment is awesome there.,There is no career growth,0,0,0,0,0,1,0,1
530,Good team work and working process.,Only 12 month apprenticeship training period done.,1,0,0,0,0,0,0,1
531,Good experience,Good,0,0,0,0,0,0,0,0
532,Nothing,Terrible,0,0,0,0,0,0,0,0
533,Loss Prevention,Due my domestic problems I was designed,0,0,0,0,0,0,0,0
534,Salary is on time also management is good and friendly environment,Incentives are very less,0,0,1,0,0,0,0,1
535,I am like working time best.,This company not satisfied proper opportunity because line manager change short time so our work not identify and give not good rating so that is very bad luck not give performance and from company force fully give registration.,0,1,0,0,0,0,0,1
536,"They treat contract employees in a very a bad manner , as we have stolen something from the organization. No allowances were paid for the night shifts I worked even though I raised a request. Job security is too worse. The one scenario I want to explain here is , one of my colleague was hired for AIX program automation development for one of the project. None of the managers came and explained his roles and responsibilities until that person was about to receive a termination message. Moreover they hired him for AIX support and used him for windows patching support. They never value the skill of a person. Moreover for transportation facilitiy for ladies is too worst. I literally begged team manager one day to arrange a office cab as my work delayed till late night that day. Moreover he didn't had a concern to give transport people number. It's worst organization. I never felt any growth in the technical skill during my stay in that organization","Too much politics based on languages, state",1,0,0,1,1,0,0,3
537,Salary and job security.,Working hours are more maximum time and little pressure.,0,0,1,0,1,0,0,2
538,Kaleewari ltd gave the life for me,"Growth is high ,I have learnt different skills .",1,0,0,0,0,1,0,2
539,The only likable thing about the company is the infrastructure and sports facilitate. Teammates were good and supportive but that can't be credited to Infosys.,"Compensation or appraisal is as low as it can be, growth snails and not enough career opportunities. Moreover, the management does not value either you or your work, you can't even question them. Sometimes, it feels like a puppet made to follow orders and if you don't then face the wrath of their powers. There's lot of power abuse and lack of 360° degree feedback which makes them even more superior and you helpless. I would not recommend anyone to join specially freshers since it creates a bad image of how a company works and not how it should be.",0,0,1,0,0,1,0,2
540,Overall good,Over all good,0,0,0,0,0,0,0,0
541,i like the work palce & some employees working skills and behaviour is best and excellent.,Some employee are talking badly..........create a misbehaviour activity...........minor levels.......also thi absorve theirs behaviour,0,0,0,0,0,0,0,0
542,I was fortunate enough to get opportunity to be a part of one of the great organization in the world for 25 years. Miss my Jet Airways from the bottom of my heart. Just hope and pray that the flying sun will be in the skies once again soon !!!😍,"It's up to you how you look at it, don't expect things work out the way you prefer.  I just loved it for 25 years.",0,0,0,0,0,0,1,1
543,Average,"Shift is only night 9pm to6pm 
Management is not good
No Benefits",0,0,1,0,0,0,0,1
544,rivigo is the good mnc company,rivigo is the good company,0,0,0,0,0,0,0,0
545,Well supply chain management,Do not jion off rool Recruitment,0,0,0,0,0,0,0,0
546,"Big learning platform.Management team highly intensive,good working environment.free hand for work.average compensation.",Few people on site level not good they believe in buttering.people get advantage from buttering.,1,0,1,0,0,0,1,3
547,"Ways of working,systems and people",Location of the plant,0,0,0,1,0,0,0,1
548,YES,NO,0,0,0,0,0,0,0,0
549,Operation,Secirity,0,0,0,0,0,0,0,0
550,Compensation and Good Job opportunities for Freshers,"Work Culture, No personal life",0,1,1,1,0,1,0,4
551,DB Group is a good brand & there is a lot to learn from employees here. Salary come on time to time.,"Growth is very slow & work pressure is very high. sometimes, i have to work 10-12 hours straight in a day as i have to attend employees calls & vendors calls in the late night maximum times. Managers do not value an individuals unique strengths, i do not receive appreciation & Unnoticed my hard working. mostly unnoticed my appraisals in a years.",0,0,1,0,0,1,0,2
552,Very well,Staff management,0,0,0,0,0,0,0,0
553,Future Group is well reputed retail industry company then i like about working at Future group,Unsatisfied With Salery,0,0,1,0,0,0,0,1
554,This is only one company who made and think about the Farmer,This is only one company who made and think farme future bright,0,0,0,0,0,0,0,0
555,Nothing,No personal life in reliance during work,0,1,0,0,0,0,0,1
556,Staff's are so friendly,Working hours is not fixed.  Its too hard.  We dont have freedom to go out.  Its like a convent school.,0,1,0,0,0,0,0,1
557,Training was very good i have learned many things about banking as there was SBI customer service but salary was not sufficient .,Sometimes nobody was present for support to new employee when he/she needed some help about customer query.,0,0,1,0,0,0,0,1
558,Good company to start profession.   Candidate should take self initiative to build their skills. Ajail & colobrative candidate can grow faster in this organisation. I love this origination. This is managed  & run by charitable trust &  proffisionals driving organisation,Career growth,1,0,0,0,0,1,0,2
559,"I loved working with reliance brands Ltd as the work environment was really good,meeting new people everyday and learning new things.Also the company takes great initiative to train the new employees.",I disliked the 80-20 salary structure. It wasn't very motivating.,1,0,1,0,0,0,0,2
560,Yes again I want to work,No,0,0,0,0,0,0,0,0
561,"Workin in dominos is great opportunity for me I don’t know about our indian management but where I work it’s called a great management with developing skill I also want to rejoin if they give me apportunity
Thanks 😍",Doing over duty like more than 12 hours,1,0,0,0,0,0,0,1
562,Exposure to Tech,"More levels of hirerachy, low visibility ,reduncdency in work, high meeting hours",1,0,0,0,1,0,0,2
563,Freedom of work.,"Horrible unsupportive regional head, less salary",0,0,1,0,0,0,0,1
564,Lot of areas to learn. Complicated business has always cope for new learning and adventure.,"Work culture, Employee behaviour and laid back culture takes the entire company behind",1,0,0,1,0,0,0,2
565,"Nothing such a worst interview had in my life by 
Hr. Mrs dipali","Worst experience 
And I'm sure that would have been selected bt se doesn't bother about my talent she just reject all the members of my batch.
A mechanical engineer also can do wht u have not thinked of mrs. Dipali(hr) @indigo",0,0,0,0,0,0,0,0
566,MR,Any,0,0,0,0,0,0,0,0
567,"If we talk about growth. Opportunity it was good for those who warkhard & achieves there target, lots of area apart from core profile in which huge scope to learn.",Huge transfers as per there requirement even after a policy of 3 yr time band for transfer/location change. Minimum payers for technical staff always very difficult to control attrition rate as per the target.,0,0,0,0,0,1,0,1
568,Freedom,Politics,0,0,0,1,0,0,0,1
569,It's good to start up the career.,Timings .. will affect the life cycle routine,0,1,0,0,0,0,0,1
570,Syngenta company very bad company and his is over all using hard working employee and i m never satisfaction,Very bad experience,0,0,0,0,0,0,1,1
571,Job security career as well as work experience more learning,Know,1,0,0,0,1,1,0,3
572,My colleagues and seniors were very supportive and helpful at every level.,The company needs to work towards providing employees with proper work-life balance.,0,1,0,0,0,0,0,1
573,You should know the market trend !,no idea,0,0,0,0,0,0,0,0
574,Relationship/bonding between colleague in execution level.,Person and designation specific treatement instead of standardization of process for All and All level.,0,0,0,0,0,0,0,0
575,"It's a better company to grow your skills, and technical knowledge through this company","Salary issue is most,",1,0,1,0,0,0,0,2
576,"It completely depends on your project. If your project team and managers are good, you will enjoy and learn at TCS. Best part about TCS is Job Security. Also, we can be considered appraisal as a good part if you got a good rating. TCS provides the best employee friendly policies i.e. health insurance with a domiciliary claim allowance. Great work life balance, best campus, free gym and recreation facilities , good canteens, free cab facility at night and so on.","In mostly GE project, you got frustrated because of favoritism and politics of project manager.
RMG team doesn't allow you to switch the account/project. It is the worst part about tcs. you can not approach for any other TCS opportunity without your project manager and RMG team approval.",1,1,1,0,0,0,0,3
577,All management is very good but environment is so bad.,Environment and location is very bad,0,0,0,0,0,0,0,0
578,Work life balance and company ethics,compensation and career growth,0,1,1,0,0,1,0,3
579,"Currently it is in growing stage company, there is lot of growth and opportunities and culture is also good..","I am not a permanent employee of Ericsson, i am working on the basic of contract role.",0,0,0,1,0,1,0,2
580,Good place to work.,Good place to work,0,0,0,0,0,0,0,0
581,Support from immediate bosses,"Work environment, work life balance, compensation, travel, training",0,1,1,0,0,0,0,2
582,"The company is open to innovation and readily adopts latest technology. I love the fact that I am a part of a team that markets reliable, high-quality products and has a global client base. As a result, I get to travel abroad, especially to the US and Canada. But on-site travel is completely dependent on your project and client’s location. Mine is a US based client and they have some offices in Toronto, hence I got a B1 visa quickly. Another plus point is that my colleagues come from various cultural backgrounds, and we work happily in collaboration. I also like the employee re-hire policy here.","Compensation is decent, but growth is slow. The work pressure is very high. Sometimes, I have to work 14-18 hours straight in a day as I have to attend client calls in the evening and sometimes late into the night. Managers do not value an individuals’ unique strengths, which is why I have to take back my suggestions most of the times. I do receive appreciation emails from my client, but they mostly go unnoticed during my mid-year appraisals. Also, there is no on-job training for freshers, hence senior folks like me have to guide them step-by-step, which is a pain sometimes.",0,0,1,0,0,1,0,2
583,"The company is open to innovation and ready adopts latest technology.I love the fact that I am a part of a team that markets reliable,high-quality products and has a global client base. As a result, I get to travel abroad, especially to the US and Canada.",Team manager turcher is very high. I have to work 14-18 hours straight in a day.,0,1,1,0,0,0,0,2
584,"If you workhard also you will not get any increment in salary ,some manager will nice to you","Some manager will not be friendly, and they will use us and leave",0,0,1,0,0,0,0,1
585,"Excellent Organization to work with. Company really care about the Employee in terms of Privacy, Health and safety. Wide range of work environment exposure with define work SOP
Working with MNC like Vodafone India gave great boost to carrier as well as personality development. Company do invest extensively in learning and development for the employee to perform and deliver expected result. Realistic target orientation","Nothing to dislike about the Company. 
People (employee who leave the organization) generally take the change decision because of 
1. Boss (reporting Manager hierarchy 1 and 2), just because of lack of cohesive and constructive communication and mismatch in level of understanding 
2. Non the less we do find people who make change decision owing to better opportunity. Opportunity term will always varies from individual to individual",0,0,1,0,0,0,0,1
586,Growth and culture is appreciable.,At least management should give a chance to their employee for clarification.,0,0,0,1,0,1,0,2
587,"Work environment, team mates and learning is very good.",Work-life balance and Salary/appraisal.,0,1,1,0,0,0,0,2
588,"Work environment , job security, learning and development.",Salary Structure is not as per industry norms.,1,0,1,0,1,0,0,3
589,"1.Ample scope to work independently.
2.Employee friendly company.
3.Good environment to work with team spirit.
4.Encouragement for good quality work with all safety measures. etc.......","1.Poor in rewarding hardwirking &deserving employees.
2.Huge authority to RCM to do any work which caused fanancial loss to company & created negative thought among employees about company in my place of pasting at paradeep.
3.Reward to the negative elenents.
4.Development for flatterer.",0,0,1,1,0,0,0,2
590,"Learning, Good Incentives","Politics, favourism, incentives redemption too slow",1,0,1,0,0,0,0,2
591,Growing Phase in culture of companies activity. Good Working environment,Need Compensation and Benefits with respect to employee work ability and his/her efforts.,0,0,1,1,0,0,0,2
592,Nothing,Everything,0,0,0,0,0,0,0,0
593,This is one of the best Organisation for freshers to start their career with. Friendly management and Supportive HR. Overall it is the best company,There’s nothing much to dislike about this company.,0,0,0,1,0,0,0,1
594,Feel free to work in TUV good salary and good projects,Politics beyond the on role and off role,0,0,1,0,0,0,0,1
595,Good Invirement and attractive parks,I am not feel so.,0,0,1,0,0,0,0,1
596,"The company gives full flexibility to its employees for working hours, for travelling to work and work from home benefits. In addition there are fruits, juices and soft-drinks available in the cafeteria as perks.",Lot of politics and bureaucracy. Lot of time wasted in meetings. Being a product company way behind in technology for itself even though it innovates for the world.,0,1,1,1,0,0,0,3
597,"Getting the learning of new updated softwares. Working and learning with professionals, students.",Career growth is low. Job timing are not fixed.,1,0,0,0,0,1,0,2
598,"Its a great place to work, very challenging and learning environment. 
Every day is new day, with respect to achieve, learn . here sky is the limit in all direction.",everything is good,1,0,0,0,0,0,0,1
599,Over all experience was our standing excelente werking environment.,Nothing...,0,0,0,0,0,0,0,0
600,"The company's Project Janalakshmi was the worst step by company, in Janalakshmi the team mates everytime wants to kick you out from the company.It doesn't matter what you perform what matters is how you treat to the branch manager & operation manager. Every day the same work there isn't any single thing for learning. No job security, they just removed their employees from other branches in the name of cost cutting (although they were performing good). If talking about increment if you get 10% atleast it will be the highest amount of percentage. strongly not recommended if you have the project Janalakshmi.",Unfortunately there is only things to dislike in this company. By mistakenly I write down my experience in likes so go get them there!!! By the way Strongly not recommended if you have Project Janalakshmi.,0,0,1,0,1,0,0,2
601,Travel,Politics,0,0,0,1,0,0,0,1
602,Over all good experience,Our store manager and DM's support was very good,0,0,0,0,0,0,0,0
603,Will have a great success in our legal subject with u.s clients,I like working. With. Quislex,0,0,0,0,0,0,0,0
604,Company  is good,Not bad,0,0,0,0,0,0,0,0
605,All The Staff Are Supportive.for fresher it is a great platform to learn new things.working environment is too good.LG offer good salary of package.,First six months of year work pressure is too high.sometime work for late night so not spend time with family.,0,1,1,0,0,0,0,2
606,fghthrthrhtrhthht,trtrstsrtty,0,0,0,0,0,0,0,0
607,L.g is a good company. L.g products is good and better life long products. L.g company career growth&opportunities is better. .....,No,0,0,0,0,0,1,0,1
608,mphasis is good company  My work is hand the customer,Mphasis is call center inbound process but salay not satisfied,0,0,1,0,0,0,0,1
609,Iam very happy working with Tanishq we can improve our skills and very supportive team,As of now nothing,1,0,0,0,0,0,0,1
610,Senario is too good,None,0,0,0,0,0,0,0,0
611,Team work,Nothing,0,0,0,0,0,0,0,0
612,"Onboarding Process, job Security","Project management, work-life balance. no skill development or career growth or any kind of opportunities, too much politics, seniors harass their associates.",1,1,0,1,1,1,0,5
613,Its a wonderful place to work. Excellent organization culture. Cooperative staff. Supportive seniors. Excellent Top Management.,As such no dislikes might be some others have.,0,0,0,1,0,0,0,1
614,our engineer is good knowlege of the elctrical field so skiil devlopment and work experience is very good.,essar steel plant in dust is atmosphere in dengerours for the human being life.,1,0,0,0,0,0,0,1
615,Good coustmer relationship,Very hard working hours,0,1,0,0,0,0,0,1
616,"Co. is very good in terms of moderate growth of lower level, grievances for down liners and on time salary shed out. Good training processes for Lover level staff but can be improved further. Good policies but no implementations...","Co. is very good but there is no growth(Even you acquire and fulfil all desired criteria by Sodexo) , no transfers internationally where we can learn and grow our skills on Global platform. Lots pf Politics in Indian Setup especially at Top Management where they want their own team, even if they have get someone resigned from current experienced lot, irrelevant whether new person on board is from same field and have proper skills and knowledge. Seniors push you to mentally to extremes deliberately just to want to make you leave the Co. or current profile very poor and sad setup, wanted to continue for longer years but was again forced to leave as I did not bowed down for their vested interests and today they call and regret on their decisions...of asking us to discontinue. No proper salary increments, hikes are only for those who are hired externally with out any knowledge of business and are made to hired on top brass positions, N - no of examples can be seen in Indian Management....",1,0,1,1,0,1,0,4
617,timings and environment,internal politics,0,0,0,1,0,0,0,1
618,"It is an MNC but works like a startup so we get to learn a lot, there is lot of outsourced work from big groups so lot of opportunity, they have training service as well so skill is developed, very diverse and amazing ppl",Compensation,1,0,1,0,0,0,0,2
619,Good area work,No any,0,0,0,0,0,0,0,0
620,Politics,Bengali,0,0,0,1,0,0,0,1
621,Good learning & training,Good learning & training,1,0,0,0,0,0,0,1
622,Excellent,Not discipline,0,0,0,0,0,0,0,0
623,Environment and friendly atmosphere,They don't even bother to ask us how we feel working with them how is your colleagues and what changes u want there r no hike in salaries till years,0,0,1,0,0,0,0,1
624,"The company is good in overall. I worked as contract officer over there. Work culture is good and cooperative people. One can spend whole with the company without headache means relaxing job. All  facility is given by the given I.e. transportation, gratuity,pf,medical,leave,maternity, one can assume like government job but you have to sacrifice with salary.
Salary too poor.  If you look towards salary concern. The salary is given too less for commercial expert, junior commercial expert, contract officer,  as per market rate. 
From my personal point of view , the company should b give 25k-30k starting for fresher  as per company world wide status.
One should b unhappy for the same reason.",Salary is giving to less.,0,0,1,1,0,0,0,2
625,Excellent company; company culture is good; heard work will be appreciated; excellent place to learn; your knowledge will be recognized.,"Nothing to say, you will be recognized if you are true and skillful",1,0,0,1,0,0,0,2
626,We have more learn in gatikwe whole process like cast  capacity QKM  planning distribution .  Various roll in 9years,Compensation is decent but growth is slow,0,0,1,0,0,1,0,2
627,Amazing organisation to start your career . compensation is little less than other organisations but you will get loads of opportunity to focus on learning and development.. overall satisfaction was good  . i spend three and half years there.,I did not dislike anything as i was comfortable working there .,1,0,0,0,0,0,1,2
628,"The Culture, Environment, Organization Structure, Relations among colleagues,Boss,Subordinates are wonderful. Transparency, believing in team work, Team spirit, employee is taken care & heard properly his aspirations.",Only The Salary pay-scale is average,0,0,1,1,0,0,0,2
629,OVERALL IT IS VERY GOOD COMPANY.THERE ARE LOT OF NEW TECHNOLOGY TO LEARN.SENIOR ARE EVEN VERY VERY COOPERATIVE.,NO WORK LIFE BALANCE,1,1,0,0,0,0,0,2
630,Work Life balance is the best you can find working in a corporate sector.,Maintenance of Alloted quarters are up to mark.,0,1,1,0,0,0,0,2
631,"Since I have given my 24 years of life to Indian army.In return of these precious 24 years of my life Indian army gave me respect.Now i feel proud to say that I am an ex-servicemen from Indian army.what I have learnt from here is-there is no discrimination in army related to colour ,caste, category.Because of Indian army I got chance to travel abroad- south Africa. Indian army gave respect and security to my family.at last today m happy and proud that I am a member of this huge family.",According to me there is nothing to be disliked in Indian army. I liked rather I loved each and everything.,0,0,1,1,0,0,1,3
632,The best airline which teach us all about the life.,There is no dislike because I truly love indigo and it’s culture.,0,0,0,1,0,0,1,2
